NAME                                                              CPU(cores)   MEMORY(bytes)   
emss-csc-orpagg-subdomain-group-1-v6-69f565b77d-kxmqb             14m          2343Mi          
emss-csc-orpagg-subdomain-group-1-v6-69f565b77d-ngrhd             9m           2344Mi          
emss-csc-orpagg-subdomain-group-1-v6-69f565b77d-qf45l             9m           2365Mi          
emss-csc-orpagg-subdomain-group-1-v6-69f565b77d-v7646             12m          2351Mi          
emss-csc-orpagg-subdomain-group-1-v6-69f565b77d-vqzfz             11m          2360Mi          
emss-csc-schedule-subdomain-group-1-v11-67695cb76-fgqk8           17m          2369Mi          
emss-csc-schedule-subdomain-group-1-v11-67695cb76-ttx5g           36m          2358Mi          
emss-csc-task-inner-subdomain-group-1-v13-84c44cdb4f-hc5gl        22m          2396Mi          
emss-csc-task-inner-subdomain-group-1-v13-84c44cdb4f-phzmx        11m          2367Mi          
emss-cuc-cronsync-inner-front-group-1-v2-6dc55fc85-5m78l          31m          6879Mi          
emss-cuc-cronsync-inner-front-group-1-v2-6dc55fc85-7jrm9          63m          6837Mi          
emss-cuc-cronsync-inner-front-group-1-v2-6dc55fc85-7q6bt          49m          6920Mi          
emss-cuc-cronsync-inner-front-group-1-v2-6dc55fc85-9gqbr          26m          7408Mi          
emss-cuc-cronsync-inner-front-group-1-v2-6dc55fc85-cc8hn          55m          7007Mi          
emss-cuc-cronsync-inner-front-group-1-v2-6dc55fc85-kzhcq          64m          7195Mi          
emss-cuc-cronsync-inner-front-group-1-v2-6dc55fc85-n2fdx          107m         7067Mi          
emss-cuc-cronsync-inner-front-group-1-v2-6dc55fc85-qhcvg          27m          7234Mi          
emss-cuc-cronsync-inner-front-group-1-v2-6dc55fc85-xcktx          30m          6972Mi          
emss-cuc-cronsync-inner-front-group-1-v2-6dc55fc85-zlmng          55m          6864Mi          
emss-cuc-custmanage-inner-subdomain-group-1-v14-7b4466c56f2lrsn   18m          1481Mi          
emss-cuc-custmanage-inner-subdomain-group-1-v14-7b4466c56f567fv   28m          1562Mi          
emss-cuc-custmanage-inner-subdomain-group-1-v14-7b4466c56f5gl9d   28m          1565Mi          
